Question ,Category,Priority
My internet is not working since yesterday,Technical Support,High
I was charged twice for my subscription,Billing,Medium
I forgot my password and cannot login,Account Management,Medium
I want to upgrade my plan,Sales,Low
I am unable to login even after entering the correct password.,Account Management,High
I did not receive the OTP while trying to login.,Account Management,High
I want to change my registered email address,Account Management,Medium
My profile details are incorrect and I am unable to edit them.,Account Management,Medium
 I accidentally deleted my account. Can it be recovered?,Account Management,High
I am not receiving password reset emails.,Account Management,High
My account shows unauthorized login activity.,Account Management,High
I want to deactivate my account temporarily.,Account Management,Low
I am unable to update my phone number in account settings.,Account Management,Medium
My username is displaying incorrectly after login.,Account Management,Medium
I want to permanently delete my account.,Account Management,Low
I forgot both my username and password.,Account Management,High
My account got suspended without any explanation.,Account Management,High
I am unable to verify my email address.,Account Management,Medium
The account dashboard is not loading after login.,Account Management,High
I want to link my social media account but it is not working.,Account Management,Medium
My account preferences are getting reset automatically.,Account Management,Medium
I cannot log out from my account.,Account Management,Medium
I want to merge two of my accounts.,Account Management,Low
My account language settings are not updating.,Account Management,Low
I want to enable two-factor authentication.,Account Management,Low
I am stuck in a login loop after entering credentials.,Account Management,High
My account is showing another user's data.,Account Management,High
I cannot change my password even after verification.,Account Management,High
My account was hacked and the email was changed.,Account Management,High
I cannot access any websites on my connection,Technical Support,High
Network drops frequently during video calls,Technical Support,High
My modem is not turning on,Technical Support,High
Internet is working on phone but not on laptop,Technical Support,Medium
DNS error is showing while browsing,Technical Support,Medium
The connection becomes unstable at night,Technical Support,Medium
My LAN cable is connected but no internet,Technical Support,High
Router keeps restarting automatically,Technical Support,High
Internet stops working after some time,Technical Support,High
Unable to stream videos due to buffering,Technical Support,Medium
My device cannot detect the WiFi network,Technical Support,High
Frequent packet loss during gaming,Technical Support,Medium
Network shows connected but no internet access,Technical Support,High
Unable to join online meetings due to network issues,Technical Support,High
Slow upload speed affecting my work,Technical Support,Medium
Internet disconnects when multiple devices are connected,Technical Support,Medium
Router firmware update failed,Technical Support,Low
My broadband is not working since morning,Technical Support,High
Signal strength is very weak in my room,Technical Support,Medium
Internet connection drops during downloads,Technical Support,Medium
VPN is not connecting properly,Technical Support,High
Network latency is too high,Technical Support,Medium
Unable to reset my router settings,Technical Support,Low
I want to upgrade my current plan to premium.,Sales / Plan Upgrade,Low
Can you help me switch to the pro plan?,Sales / Plan Upgrade,Low
I am interested in upgrading my subscription.,Sales / Plan Upgrade,Low
How can I move from basic to premium plan?,Sales / Plan Upgrade,Low
Please upgrade my account to a higher plan.,Sales / Plan Upgrade,Low
I want to change my plan to premium immediately.,Sales / Plan Upgrade,Low
Can I upgrade my plan now and pay the difference?,Sales / Plan Upgrade,Low
What are the steps to upgrade my subscription?,Sales / Plan Upgrade,Low
"I need more features, how do I upgrade?",Sales / Plan Upgrade,Low
Is it possible to upgrade mid-subscription?,Sales / Plan Upgrade,Low
I want to move from free plan to paid plan.,Sales / Plan Upgrade,Low
Please guide me on upgrading to premium.,Sales / Plan Upgrade,Low
Can I upgrade without canceling my current plan?,Sales / Plan Upgrade,Low
I want to switch to an advanced package.,Sales / Plan Upgrade,Low
How do I upgrade to unlock premium features?,Sales / Plan Upgrade,Low
I am planning to upgrade my current subscription.,Sales / Plan Upgrade,Low
Can you explain how to upgrade my plan?,Sales / Plan Upgrade,Low
I want to upgrade and access more features.,Sales / Plan Upgrade,Low
What is the process to move to premium plan?,Sales / Plan Upgrade,Low
Please assist me in upgrading my account.,Sales / Plan Upgrade,Low
I want to upgrade for better service options.,Sales / Plan Upgrade,Low
How can I change my plan to a higher tier?,Sales / Plan Upgrade,Low
Can you upgrade my account to premium version?,Sales / Plan Upgrade,Low
I want to go for the premium package.,Sales / Plan Upgrade,Low
Please help me upgrade my subscription plan.,Sales / Plan Upgrade,Low
I was charged twice for my monthly subscription this month. Please check the billing and refund the extra amount.,Billing,Medium
I was billed for a service I never subscribed to.,Billing,High
My invoice shows an incorrect amount this month.,Billing,Medium
I have been overcharged on my last bill.,Billing,High
I need a refund for the duplicate transaction made yesterday.,Billing,High
Why is my bill higher than usual this month?,Billing,Medium
I was charged after I cancelled my subscription.,Billing,High
Please reverse the incorrect charge on my account.,Billing,High
"I did not authorize this payment, please refund immediately.",Billing,High
My account shows a payment failed but money was deducted.,Billing,High
I was charged twice for the same service on the same day.,Billing,High
The refund I requested last week has not been processed yet.,Billing,Medium
I am seeing an unknown charge on my billing statement.,Billing,Medium
Please send me the invoice for this month's payment.,Billing,Low
I need a detailed breakdown of my current bill.,Billing,Low
My payment was deducted but my account is still inactive.,Billing,High
I was charged the wrong plan rate this billing cycle.,Billing,Medium
I did not receive a receipt for my last payment.,Billing,Low
My autopay charged me even after I paused my subscription.,Billing,High
I have been waiting for my refund for over two weeks.,Billing,Medium
The amount deducted does not match the plan I chose.,Billing,Medium
I want to dispute an incorrect charge on my account.,Billing,Medium
Why was I charged a late fee when I paid on time?,Billing,Medium
"I was charged during my free trial period, please refund.",Billing,High
I need to update my billing information on file.,Billing,Low
My credit card was charged multiple times for one order.,Billing,High
I cancelled my plan but still got charged this month.,Billing,High
Please issue a corrected invoice with the right amount.,Billing,Medium
I was charged in the wrong currency for my subscription.,Billing,Medium
I have not received my cashback or billing credit yet.,Billing,Medium
I want a receipt for all payments made in the last 3 months.,Billing,Low
I am being charged for two separate subscriptions on the same number.,Billing,High
My card was charged but I did not receive any invoice for this month.,Billing,Medium
The amount debited this month is higher than my subscribed plan.,Billing,High
I was promised a discount but my bill shows the full amount.,Billing,Medium
My auto-debit failed but money was deducted from my bank account.,Billing,High
I have been billed for an add-on service that I never activated.,Billing,High
I am seeing roaming charges even though I did not travel abroad.,Billing,High
There is a late payment fee even though I paid before the due date.,Billing,Medium
My previous month refund is still not reflected in the current bill.,Billing,Medium
I changed my plan to a cheaper one but I am still billed at old rate.,Billing,Medium
I have been billed for international calls I never made.,Billing,High
The taxes on my bill seem higher than the standard rate.,Billing,Medium
My usage shows zero but I still received a high bill amount.,Billing,Medium
I was told the installation is free but I was charged a setup fee.,Billing,Medium
I paid my bill twice because the first payment status was pending.,Billing,Medium
My auto-pay was disabled but the system still deducted money.,Billing,High
I requested a bill in local currency but I was charged in USD.,Billing,Medium
I received SMS about outstanding dues but my bill shows zero balance.,Billing,Low
My account shows a negative balance even though I only prepaid once.,Billing,Medium
I need a detailed breakdown of all charges on my last invoice.,Billing,Low